asset_no,warranty_start,warranty_expire,warranty_months
130000012339,2019-09-26,2024-09-26,61
130000012340,2019-09-26,2024-09-26,61
130000012341,2019-09-26,2024-09-26,61
130000012342,2019-09-26,2024-09-26,61
130000012343,2019-09-27,2021-09-27,24
130000012344,2019-09-27,2021-09-27,24
130000012345,2019-09-27,2021-09-27,24
130000012346,2019-09-27,2021-09-27,24
130000012347,2019-09-27,2021-09-27,24
130000012348,2019-09-27,2021-09-27,24
130000012349,2019-09-27,2021-09-27,24
130000012369,2019-09-25,2024-09-25,61
130000012370,2019-09-25,2024-09-25,61
130000012371,2019-09-25,2024-09-25,61
130000012372,2019-09-25,2024-09-25,61
130000012373,2019-09-25,2024-09-25,61
130000012374,2019-09-25,2024-09-25,61
130000012375,2019-09-13,2024-09-13,61
130000013448,2019-09-13,2024-09-13,61
130000013449,2019-09-16,2024-09-16,61
130000013450,2019-09-16,2024-09-16,61
130000013476,2019-09-25,2021-09-25,24
130000013477,2019-09-25,2020-09-25,12
130000013478,2019-09-25,2020-09-25,12
130000013479,2019-09-25,2020-09-25,12
130000013480,2019-09-25,2020-09-25,12
130000013481,2019-09-25,2020-09-25,12
130000013482,2019-09-25,2020-09-25,12
130000013505,2019-09-26,2024-09-26,61
130000013506,2019-09-26,2024-09-26,61
130000013507,2019-09-26,2024-09-26,61
130000013508,2019-09-26,2024-09-26,61
130000013509,2019-09-26,2024-09-26,61
130000013510,2019-09-26,2024-09-26,61
130000013511,2019-09-30,2021-09-30,24
130000013512,2019-09-30,2021-09-30,24
130000013513,2019-09-30,2021-09-30,24
130000013514,2019-09-30,2021-09-30,24
130000013515,2019-09-30,2021-09-30,24
130000013544,2019-10-07,2021-10-07,24
130000013545,2019-10-07,2021-10-07,24
130000013546,2019-10-07,2021-10-07,24
130000013547,2019-10-07,2021-10-07,24
130000013548,2019-10-07,2021-10-07,24
130000013549,2019-10-07,2021-10-07,24
130000013678,2019-09-24,2020-09-24,12
130000013679,2019-09-24,2020-09-24,12
130000013680,2019-09-24,2020-09-24,12
130000013681,2019-09-24,2020-09-24,12
130000013682,2019-09-24,2020-09-24,12
130000013683,2019-09-24,2020-09-24,12
130000013684,2019-09-24,2020-09-24,12
130000013686,2019-09-07,2021-09-07,24
130000013687,2019-09-07,2021-09-07,24
130000013688,2019-09-07,2021-09-07,24
